Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Tag 1,Product Tag 2,Product Tag 3,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price VND,Variant Option 1 Name,Variant Option 1 Value
prod_01KNXW0FGBPAGB7420XA241NAC,mi-handy-hao-hao-tom-chua-cay,Mì Handy Hảo Hảo Tôm Chua Cay,Acecook,published,,"Tên sản phẩm: Mì Handy Hảo Hảo Tôm Chua Cay

Thương hiệu: Acecook

Danh mục: Mì ly

Giới thiệu:

- Thiết kế dạng ly tiện dụng, phù hợp cho người bận rộn.

- Giữ nguyên hương vị tôm chua cay truyền thống của Hảo Hảo.

- Đi kèm rau củ sấy khô phong phú bên trong.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/mi-handy-hao-hao-tom-chua-cay.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,,67,,,,,,,,Sat Apr 11 2026 15:54:49 GMT+0700 (Indochina Time),Sat Apr 11 2026 15:54:49 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,Spicy,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KNXW0GF1MXTPTXY8NY5W91A8,1 Ly,ACE-HDHH-TCC,,,,false,true,,,,,,,,,,0,,prod_01KNXW0FGBPAGB7420XA241NAC,Sat Apr 11 2026 15:54:50 GMT+0700 (Indochina Time),Sat Apr 11 2026 15:54:50 GMT+0700 (Indochina Time),,9300,Ly,1
prod_01KNXW0FGBPAGB7420XA241NAC,mi-handy-hao-hao-tom-chua-cay,Mì Handy Hảo Hảo Tôm Chua Cay,Acecook,published,,"Tên sản phẩm: Mì Handy Hảo Hảo Tôm Chua Cay

Thương hiệu: Acecook

Danh mục: Mì ly

Giới thiệu:

- Thiết kế dạng ly tiện dụng, phù hợp cho người bận rộn.

- Giữ nguyên hương vị tôm chua cay truyền thống của Hảo Hảo.

- Đi kèm rau củ sấy khô phong phú bên trong.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/mi-handy-hao-hao-tom-chua-cay.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,,67,,,,,,,,Sat Apr 11 2026 15:54:49 GMT+0700 (Indochina Time),Sat Apr 11 2026 15:54:49 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,Spicy,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KNXW0GF297F2MQZN9WM8V986,5 Ly,ACE-HDHH-TCC-5,,,,false,true,,,,,,,,,,0,,prod_01KNXW0FGBPAGB7420XA241NAC,Sat Apr 11 2026 15:54:50 GMT+0700 (Indochina Time),Sat Apr 11 2026 15:54:50 GMT+0700 (Indochina Time),,40000,Ly,Combo 5
